date,ukey,value,factor
2021-01-29,965,435.49,risk_fac_growth_np_yoy
2021-01-29,966,-54.04,risk_fac_growth_np_yoy
2021-01-29,967,-6.89,risk_fac_growth_np_yoy
2021-01-29,968,-54.74,risk_fac_growth_np_yoy
2021-01-29,969,-36.04,risk_fac_growth_np_yoy
2021-01-29,970,-59.88,risk_fac_growth_np_yoy
2021-01-29,972,-284.0601240848,risk_fac_growth_np_yoy
2021-01-29,973,-51.69,risk_fac_growth_np_yoy
2021-01-29,975,45.18,risk_fac_growth_np_yoy
2021-01-29,977,21.37,risk_fac_growth_np_yoy
2021-01-29,978,-333.19,risk_fac_growth_np_yoy
2021-01-29,980,-105.67,risk_fac_growth_np_yoy
2021-01-29,981,105.39,risk_fac_growth_np_yoy
2021-01-29,985,-74.59,risk_fac_growth_np_yoy
2021-01-29,983,-11.33,risk_fac_growth_np_yoy
2021-01-29,987,236.44,risk_fac_growth_np_yoy
2021-01-29,988,5.2,risk_fac_growth_np_yoy
2021-01-29,989,20.78,risk_fac_growth_np_yoy
2021-01-29,990,-88.66,risk_fac_growth_np_yoy
2021-01-29,993,-102.23,risk_fac_growth_np_yoy
2021-01-29,995,128.7,risk_fac_growth_np_yoy
2021-01-29,999,-20.57,risk_fac_growth_np_yoy
2021-01-29,997,-28.54,risk_fac_growth_np_yoy
2021-01-29,998,-26.44,risk_fac_growth_np_yoy
2021-01-29,1696,48.45,risk_fac_growth_np_yoy
2021-01-29,1872,-48.38,risk_fac_growth_np_yoy
2021-01-29,1896,105.52,risk_fac_growth_np_yoy
2021-01-29,1914,136.61,risk_fac_growth_np_yoy
2021-01-29,1979,-56.96,risk_fac_growth_np_yoy
2021-01-29,1965,-62.56,risk_fac_growth_np_yoy
2021-01-29,2003,23.37,risk_fac_growth_np_yoy
2021-01-29,2001,72.52,risk_fac_growth_np_yoy
2021-01-29,2004,1.38,risk_fac_growth_np_yoy
2021-01-29,2005,8.47,risk_fac_growth_np_yoy
2021-01-29,2006,126.2,risk_fac_growth_np_yoy
2021-01-29,2007,0.04,risk_fac_growth_np_yoy
2021-01-29,2009,-26.52,risk_fac_growth_np_yoy
2021-01-29,2008,69.99,risk_fac_growth_np_yoy
2021-01-29,2011,-137.14,risk_fac_growth_np_yoy
2021-01-29,2010,-19.59,risk_fac_growth_np_yoy
2021-01-29,2012,57.99,risk_fac_growth_np_yoy
2021-01-29,2015,46.92,risk_fac_growth_np_yoy
2021-01-29,2014,17.0,risk_fac_growth_np_yoy
2021-01-29,2016,-13.77,risk_fac_growth_np_yoy
2021-01-29,2017,-19.56,risk_fac_growth_np_yoy
2021-01-29,2021,45.67,risk_fac_growth_np_yoy
2021-01-29,2019,22.79,risk_fac_growth_np_yoy
2021-01-29,2020,-23.81,risk_fac_growth_np_yoy
2021-01-29,2022,92.9,risk_fac_growth_np_yoy
2021-01-29,2024,-95.4,risk_fac_growth_np_yoy
2021-01-29,2025,3.67,risk_fac_growth_np_yoy
2021-01-29,2023,-131.96,risk_fac_growth_np_yoy
2021-01-29,2026,62.33,risk_fac_growth_np_yoy
2021-01-29,2027,61.9,risk_fac_growth_np_yoy
2021-01-29,2029,-69.81,risk_fac_growth_np_yoy
2021-01-29,2030,1817.41,risk_fac_growth_np_yoy
2021-01-29,2028,102.93,risk_fac_growth_np_yoy
2021-01-29,2031,-89.36,risk_fac_growth_np_yoy
2021-01-29,2034,20.21,risk_fac_growth_np_yoy
2021-01-29,2033,-73.75,risk_fac_growth_np_yoy
2021-01-29,2032,-13.42,risk_fac_growth_np_yoy
2021-01-29,2038,-39.72,risk_fac_growth_np_yoy
2021-01-29,2037,-18.41,risk_fac_growth_np_yoy
2021-01-29,2035,-47.29,risk_fac_growth_np_yoy
2021-01-29,2036,-6.57,risk_fac_growth_np_yoy
2021-01-29,2041,384.89,risk_fac_growth_np_yoy
2021-01-29,2039,58.32,risk_fac_growth_np_yoy
2021-01-29,2040,-7.1,risk_fac_growth_np_yoy
2021-01-29,2042,-159.84,risk_fac_growth_np_yoy
2021-01-29,2044,-232.15,risk_fac_growth_np_yoy
2021-01-29,2045,-52.4,risk_fac_growth_np_yoy
2021-01-29,2043,-23.81,risk_fac_growth_np_yoy
