基金代码,基金简称,基金类型
018475,万家恒生互联网科技业ETF发起式联接(QDII)A,指数型-海外股票
018476,万家恒生互联网科技业ETF发起式联接(QDII)C,指数型-海外股票
018479,东方红6个月持有债券A,债券型-混合一级
018480,东方红6个月持有债券C,债券型-混合一级
018481,中金恒新90天持有债券发起A,债券型-混合二级
018482,鹏华创业板50ETF联接A,指数型-股票
018483,鹏华创业板50ETF联接C,指数型-股票
018484,财通资管医疗保健混合A,混合型-偏股
018485,财通资管医疗保健混合C,混合型-偏股
018489,万家中证工业有色金属主题ETF发起式联接A,指数型-股票
018490,万家中证工业有色金属主题ETF发起式联接C,指数型-股票
018491,格林聚合增强债券A,债券型-混合二级
018492,格林聚合增强债券C,债券型-混合二级
018493,西部利得汇鑫6个月持有期混合A,混合型-偏债
018494,西部利得汇鑫6个月持有期混合C,混合型-偏债
018495,融通产业趋势臻选股票C,股票型
018500,兴银收益增强C,债券型-混合二级
018501,光大中国制造2025灵活配置混合C,混合型-灵活
018502,东财光伏A,指数型-股票
018503,东财光伏C,指数型-股票
018504,景顺长城周期优选混合A,混合型-偏股
018505,景顺长城周期优选混合C,混合型-偏股
018506,创金合信益久9个月持有期债券A,债券型-混合二级
018507,创金合信益久9个月持有期债券C,债券型-混合二级
018508,创金合信益久9个月持有期债券E,债券型-混合二级
018517,民生加银量化中国混合C,混合型-灵活
018523,华泰紫金恒生互联网科技业指数型发起基金(QDII)A,指数型-海外股票
018524,华泰紫金恒生互联网科技业指数型发起基金(QDII)C,指数型-海外股票
018529,华宝大健康混合C,混合型-偏股
018530,中欧稳鑫180天持有债券A,债券型-混合一级
018531,中欧稳鑫180天持有债券C,债券型-混合一级
018533,南方中证互联网指数(LOF)C,指数型-股票
018536,汇添富上证综合指数C,指数型-股票
018537,中银鑫盛一年持有债券A,债券型-混合一级
018538,中银鑫盛一年持有债券C,债券型-混合一级
018539,中银富利6个月持有期混合A,混合型-偏债
018540,中银富利6个月持有期混合C,混合型-偏债
018541,建信鑫安回报灵活配置混合C,混合型-灵活
018544,国投瑞银美丽中国混合C,混合型-灵活
018545,国投瑞银瑞盛混合(LOF)C,混合型-灵活
018546,国投瑞银瑞盈混合(LOF)C,混合型-灵活
018547,金鹰产业智选一年持有混合A,混合型-偏股
018548,金鹰产业智选一年持有混合C,混合型-偏股
018549,金鹰研究驱动混合A,混合型-偏股
018550,金鹰研究驱动混合C,混合型-偏股
018551,宏利医药健康混合发起A,混合型-偏股
018552,宏利医药健康混合发起C,混合型-偏股
018553,景顺长城中小盘混合C,混合型-偏股
018554,交银启嘉混合A,混合型-偏股
018555,交银启嘉混合C,混合型-偏股
018556,中银新经济灵活配置混合C,混合型-灵活
018557,易方达港股通医药ETF联接A,指数型-股票
018558,易方达港股通医药ETF联接C,指数型-股票
018561,中信保诚多策略混合(LOF)C,混合型-灵活
018562,嘉实同舟债券A,债券型-混合二级
018563,嘉实同舟债券C,债券型-混合二级
018566,恒生前海恒源泓利债券A,债券型-混合二级
018567,恒生前海恒源泓利债券C,债券型-混合二级
018570,华宝安元债券A,债券型-混合二级
018571,华宝安元债券C,债券型-混合二级
018574,兴银丰盈灵活配置C,混合型-灵活
018577,摩根恒生科技ETF发起式联接(QDII)A,指数型-海外股票
018578,摩根恒生科技ETF发起式联接(QDII)C,指数型-海外股票
018579,鑫元国证2000指数增强A,指数型-股票
018580,鑫元国证2000指数增强C,指数型-股票
018582,华泰紫金碳中和混合发起A,混合型-偏股
018583,华泰紫金碳中和混合发起C,混合型-偏股
018586,汇添富双享增利债券A,债券型-混合二级
018587,汇添富双享增利债券C,债券型-混合二级
018589,农银信息传媒股票C,股票型
018590,银华体育文化灵活配置混合C,混合型-灵活
018591,博时中证银行ETF联接C,指数型-股票
018592,中欧汇利债券A,债券型-混合二级
018593,中欧汇利债券C,债券型-混合二级
018595,华商利欣回报债券A,债券型-混合二级
018596,华商利欣回报债券C,债券型-混合二级
018597,兴全招益债券A,债券型-混合二级
018598,兴全招益债券C,债券型-混合二级
018600,景顺长城鼎益混合(LOF)C,混合型-偏股
018601,长城集利债券发起式A,债券型-混合二级
018602,长城集利债券发起式C,债券型-混合二级
018603,永赢鑫欣混合C,混合型-偏债
018604,民生加银添润债券A,债券型-混合二级
018611,鹏华高端装备一年持有期混合A,混合型-偏股
018612,鹏华高端装备一年持有期混合C,混合型-偏股
018617,民生加银添润债券C,债券型-混合二级
018618,中信保诚远见成长混合A,混合型-偏股
018619,中信保诚远见成长混合C,混合型-偏股
018620,兴全兴晨六个月持有混合A,混合型-偏债
018621,兴全兴晨六个月持有混合C,混合型-偏债
018626,富国兴享回报6个月持有期混合A,混合型-偏债
018627,富国兴享回报6个月持有期混合C,混合型-偏债
018633,财通中证500指数增强A,指数型-股票
018634,财通中证500指数增强C,指数型-股票
018635,嘉实稳健增利6个月持有混合A,混合型-偏债
018636,嘉实稳健增利6个月持有混合C,混合型-偏债
018638,国泰研究优势混合C,混合型-偏股
018640,华安沣润债券A,债券型-混合二级
018641,华安沣润债券C,债券型-混合二级
018644,金鹰悦享债券A,债券型-混合二级
018645,金鹰悦享债券C,债券型-混合二级
018646,易方达中证家电龙头ETF联接发起式A,指数型-股票
018647,易方达中证家电龙头ETF联接发起式C,指数型-股票
018648,永赢鑫享混合C,混合型-偏债
018650,光大国企改革股票C,股票型
018653,万家国证2000指数增强A,指数型-股票
018654,万家国证2000指数增强C,指数型-股票
018656,新华行业周期轮换混合C,混合型-偏股
018658,兴银消费新趋势灵活配置C,混合型-灵活
018660,中科沃土转型升级混合C,混合型-灵活
018661,大成中证1000指数增强发起式A,指数型-股票
018662,大成中证1000指数增强发起式C,指数型-股票
018663,中欧国证2000指数增强A,指数型-股票
018664,中欧国证2000指数增强C,指数型-股票
018679,招商安和债券A,债券型-混合二级
018680,招商安和债券C,债券型-混合二级
018681,国联安气候变化混合C,混合型-偏股
018682,鑫元浩鑫增强债券A,债券型-混合二级
018683,鑫元浩鑫增强债券C,债券型-混合二级
018684,汇泉安盈回报债券E,债券型-混合二级
018686,博时证券公司ETF联接C,指数型-股票
018690,德邦大健康灵活配置混合C,混合型-灵活
018693,大成核心双动力混合C,混合型-偏股
018694,大成智惠量化多策略混合C,混合型-灵活
018695,博道消费智航C,股票型
018698,国投瑞银盛煊混合A,混合型-偏股
018699,国投瑞银盛煊混合C,混合型-偏股
018702,德邦优化C,混合型-灵活
018705,财通鼎欣量化选股18个月定开混合,混合型-偏股
018706,兴银先进制造智选混合发起A,混合型-偏股
018707,兴银先进制造智选混合发起C,混合型-偏股
018708,交银悦信精选混合A,混合型-偏股
018709,交银悦信精选混合C,混合型-偏股
018710,鹏华沪深港新兴成长混合C,混合型-灵活
018714,平安新鑫优选混合A,混合型-偏股
018715,平安新鑫优选混合C,混合型-偏股
018721,华夏中证港股通50ETF发起式联接A,指数型-股票
018722,华夏中证港股通50ETF发起式联接C,指数型-股票
018724,长信汇智量化选股混合A,混合型-偏股
018725,长信汇智量化选股混合C,混合型-偏股
018726,广发匠心优选三年持有混合发起式A,混合型-偏股
018727,广发匠心优选三年持有混合发起式C,混合型-偏股
018728,华夏智胜新锐股票A,股票型
018729,华夏智胜新锐股票C,股票型
018730,华夏招鑫鸿瑞混合A,混合型-偏股
018731,华夏招鑫鸿瑞混合C,混合型-偏股
018732,华夏中证智选1000价值稳健策略ETF发起式联接A,指数型-股票
018733,华夏中证智选1000价值稳健策略ETF发起式联接C,指数型-股票
018734,华夏中证绿色电力ETF发起式联接A,指数型-股票
018735,华夏中证绿色电力ETF发起式联接C,指数型-股票
018736,景顺长城景颐裕利债券A,债券型-混合二级
018737,景顺长城景颐裕利债券C,债券型-混合二级
018738,博时标普500ETF联接E(人民币),指数型-海外股票
018741,万家集利债券发起式A,债券型-混合二级
018742,万家集利债券发起式C,债券型-混合二级
018746,永赢匠心增利债券A,债券型-混合二级
018747,永赢匠心增利债券C,债券型-混合二级
018750,山证资管精选行业混合发起式A,混合型-偏股
018751,山证资管精选行业混合发起式C,混合型-偏股
018752,天弘阿尔法优选混合A,混合型-偏股
018753,天弘阿尔法优选混合C,混合型-偏股
018754,兴业均衡优选混合A,混合型-偏股
018755,兴业均衡优选混合C,混合型-偏股
018756,睿远稳益增强30天持有债券A,债券型-混合二级
018757,睿远稳益增强30天持有债券C,债券型-混合二级
018763,汇添富稳荣回报债券发起式A,债券型-混合二级
018764,汇添富稳荣回报债券发起式C,债券型-混合二级
018765,汇添富稳丰回报债券发起式A,债券型-混合二级
018766,汇添富稳丰回报债券发起式C,债券型-混合二级
018767,汇添富稳乐回报债券发起式A,债券型-混合二级
018768,汇添富稳乐回报债券发起式C,债券型-混合二级
018771,汇添富稳合4个月持有债券D,债券型-混合一级
018772,南方惠享稳健添利债券A,债券型-混合二级
018773,南方惠享稳健添利债券C,债券型-混合二级
018774,汇添富华证专精特新100指数发起式A,指数型-股票
018775,汇添富华证专精特新100指数发起式C,指数型-股票
018776,金信精选成长混合A,混合型-偏股
018777,金信精选成长混合C,混合型-偏股
018783,交银新生活力灵活配置混合C,混合型-灵活
018784,信澳鑫瑞6个月持有期债券A,债券型-混合二级
018785,信澳鑫瑞6个月持有期债券C,债券型-混合二级
018786,招商国证2000指数增强A,指数型-股票
018787,招商国证2000指数增强C,指数型-股票
018788,中信建投臻选成长混合发起式A,混合型-偏股
018789,中信建投臻选成长混合发起式C,混合型-偏股
018790,华泰柏瑞均衡成长混合A,混合型-偏股
018791,华泰柏瑞均衡成长混合C,混合型-偏股
018796,海富通远见回报混合A,混合型-偏股
018797,海富通远见回报混合C,混合型-偏股
018806,华安国企机遇混合A,混合型-偏股
018807,华安国企机遇混合C,混合型-偏股
018815,方正富邦核心优势混合A,混合型-偏股
018816,方正富邦核心优势混合C,混合型-偏股
018817,景顺长城中小创精选股票C,股票型
018818,鑫元数字经济混合发起式A,混合型-偏股
018819,鑫元数字经济混合发起式C,混合型-偏股
018821,银华新材料混合发起式A,混合型-偏股
018822,银华新材料混合发起式C,混合型-偏股
018823,国金智享量化选股混合A,混合型-偏股
018824,国金智享量化选股混合C,混合型-偏股
018827,鑫元科技创新混合A,混合型-偏股
018828,鑫元科技创新混合C,混合型-偏股
018830,汇添富稳健回报债券A,债券型-混合二级
018831,汇添富稳健回报债券C,债券型-混合二级
018832,建信兴利灵活配置混合C,混合型-灵活
018835,广发成长启航混合A,混合型-偏股
018836,广发成长启航混合C,混合型-偏股
018840,汇添富稳元回报债券发起式A,债券型-混合二级
018841,汇添富稳元回报债券发起式C,债券型-混合二级
018846,华泰保兴尊睿6个月持有债券发起A,债券型-混合一级
018847,华泰保兴尊睿6个月持有债券发起C,债券型-混合一级
018848,中海信息产业混合C,混合型-偏股
018849,鑫元恒鑫收益增强债券型发起式E,债券型-混合二级
018851,博时标普石油天然气勘探及生产精选行业指数发起(QDII)A人民币,指数型-海外股票
018852,博时标普石油天然气勘探及生产精选行业指数发起(QDII)A美元现汇,指数型-海外股票
018853,博时标普石油天然气勘探及生产精选行业指数发起(QDII)C人民币,指数型-海外股票
018854,博时标普石油天然气勘探及生产精选行业指数发起(QDII)C美元现汇,指数型-海外股票
018860,嘉实产业优选混合(LOF)C,混合型-灵活
018861,景顺长城量化港股通股票C,股票型
018862,大成创优鑫选混合A,混合型-偏股
018863,大成创优鑫选混合C,混合型-偏股
018864,广发中证传媒ETF联接E,指数型-股票
018865,泓德数字经济混合发起式A,混合型-偏股
018866,泓德数字经济混合发起式C,混合型-偏股
018868,兴全品质甄选混合A,混合型-偏股
018869,兴全品质甄选混合C,混合型-偏股
018870,银河产业动力混合C,混合型-偏股
018871,银河乐活优萃混合C,混合型-偏股
018872,银河量化优选混合C,混合型-偏股
018876,兴合先进制造混合发起式A,混合型-偏股
018877,兴合先进制造混合发起式C,混合型-偏股
018884,建信开元惠享6个月持有期债券发起式A,债券型-混合二级
018885,建信开元惠享6个月持有期债券发起式C,债券型-混合二级
018886,东海数字经济混合发起式A,混合型-偏股
018887,东海数字经济混合发起式C,混合型-偏股
018888,银河主题混合C,混合型-偏股
018889,银河服务混合C,混合型-灵活
018890,大成锐见未来混合A,混合型-偏股
018891,大成锐见未来混合C,混合型-偏股
018892,招商安康债券A,债券型-混合二级
018893,招商安康债券C,债券型-混合二级
018896,易方达消费电子ETF联接A,指数型-股票
018897,易方达消费电子ETF联接C,指数型-股票
018898,易方达悦和稳健债券A,债券型-混合二级
018899,易方达悦和稳健债券C,债券型-混合二级
018901,招商回报优选混合发起式A,混合型-偏股
018902,招商回报优选混合发起式C,混合型-偏股
018905,国泰交通运输ETF联接A,指数型-股票
018906,国泰交通运输ETF联接C,指数型-股票
018910,中欧科技成长混合A,混合型-偏股
018911,中欧科技成长混合C,混合型-偏股
018916,华夏专精特新混合发起式A,混合型-偏股
018917,华夏专精特新混合发起式C,混合型-偏股
018918,华夏清洁能源龙头混合发起式A,混合型-偏股
018919,华夏清洁能源龙头混合发起式C,混合型-偏股
018920,东方红中证优势成长指数发起A,指数型-股票
018921,东方红中证优势成长指数发起C,指数型-股票
018926,南方中证电池ETF联接A,指数型-股票
018927,南方中证电池ETF联接C,指数型-股票
018930,湘财均衡甄选混合A,混合型-偏股
018931,湘财均衡甄选混合C,混合型-偏股
018932,中信保诚四季红混合C,混合型-灵活
018933,长盛城镇化主题混合C,混合型-偏股
018934,长盛互联网+混合C,混合型-灵活
018936,招商稳恒中短债60天持有期债券D,债券型-混合一级
018937,财通医药健康混合A,混合型-偏股
018938,财通医药健康混合C,混合型-偏股
018939,长城景气成长混合A,混合型-偏股
018940,长城景气成长混合C,混合型-偏股
018946,招商安益灵活配置混合C,混合型-灵活
018947,汇添富沪深300安中指数C,指数型-股票
018948,东方红睿满沪港深混合(LOF)C,混合型-灵活
018949,东方红睿华沪港深混合(LOF)C,混合型-灵活
018952,安信宝利债券(LOF)E,债券型-混合一级
018954,富国收益增强债券E,债券型-混合二级
018956,中航机遇领航混合发起A,混合型-偏股
018957,中航机遇领航混合发起C,混合型-偏股
018958,富国双债增强债券E,债券型-混合二级
018960,永赢易弘债券C,债券型-混合一级
018963,国泰海通量化选股混合发起D,混合型-偏股
018965,富国稳健增强债券E,债券型-混合二级
018966,汇添富纳斯达克100ETF发起式联接(QDII)人民币A,指数型-海外股票
018967,汇添富纳斯达克100ETF发起式联接(QDII)人民币C,指数型-海外股票
018968,汇添富纳斯达克100ETF发起式联接(QDII)美元现汇,指数型-海外股票
018969,汇添富纳斯达克100ETF发起式联接(QDII)美元现钞,指数型-海外股票
018971,富国致弘量化选股股票A,股票型
018972,富国致弘量化选股股票C,股票型
018975,中信建投消费升级混合发起式A,混合型-偏股
018976,中信建投消费升级混合发起式C,混合型-偏股
018980,富国优化增强债券E,债券型-混合二级
018983,国泰海通新材料混合发起A,混合型-偏股
018984,国泰海通新材料混合发起C,混合型-偏股
018985,信澳双创智选混合A,混合型-偏股
018986,信澳双创智选混合C,混合型-偏股
018987,富安达科技领航混合C,混合型-偏股
018988,博时双季益六个月持有期债券A,债券型-混合二级
018989,博时双季益六个月持有期债券C,债券型-混合二级
018990,兴银智选消费混合A,混合型-偏股
018991,兴银智选消费混合C,混合型-偏股
018993,中欧数字经济混合发起A,混合型-偏股
018994,中欧数字经济混合发起C,混合型-偏股
018995,景顺长城中国回报混合C,混合型-灵活
018998,景顺长城研究精选股票C,股票型
018999,万家趋势领先混合A,混合型-偏股
019000,万家趋势领先混合C,混合型-偏股
019001,华夏中证智选500价值稳健策略ETF发起式联接A,指数型-股票
019002,华夏中证智选500价值稳健策略ETF发起式联接C,指数型-股票
019003,易方达科技智选混合A,混合型-偏股
019004,易方达科技智选混合C,混合型-偏股
019006,蜂巢先进制造混合发起式A,混合型-偏股
019007,蜂巢先进制造混合发起式C,混合型-偏股
019008,东方红远见领航混合发起A,混合型-偏股
019009,东方红远见领航混合发起C,混合型-偏股
019010,泰康致远量化选股股票发起A,股票型
019011,泰康致远量化选股股票发起C,股票型
019013,景顺长城国证2000指数增强A,指数型-股票
019014,景顺长城国证2000指数增强C,指数型-股票
019015,中欧国企红利混合A,混合型-偏股
019016,中欧国企红利混合C,混合型-偏股
019018,易方达信息产业混合C,混合型-偏股
019020,易方达医疗保健行业混合C,混合型-偏股
019024,易方达信息行业精选股票C,股票型
019026,易方达金融行业股票发起式C,股票型
019029,华宝医药生物混合C,混合型-偏股
019030,信澳星耀智选混合A,混合型-偏股
019031,信澳星耀智选混合C,混合型-偏股
019032,易方达环保主题混合C,混合型-灵活
019034,易方达高端制造混合发起式C,混合型-偏股
019035,易方达全球医药行业混合发起式(QDII)C(人民币),QDII-混合偏股
019036,易方达全球医药行业混合发起式(QDII)C(美元现汇),QDII-混合偏股
019038,海富通添利收益一年持有期债券A,债券型-混合二级
019039,海富通添利收益一年持有期债券C,债券型-混合二级
019041,浦银稳健富利180天持有债券A,债券型-混合二级
019042,浦银稳健富利180天持有债券C,债券型-混合二级
019051,华泰柏瑞科技创新混合发起式A,混合型-偏股
019052,华泰柏瑞科技创新混合发起式C,混合型-偏股
019053,华商元亨混合C,混合型-灵活
019054,富国价值成长混合A,混合型-偏股
019055,富国价值成长混合C,混合型-偏股
019058,易方达绿色电力ETF联接A,指数型-股票
019059,易方达绿色电力ETF联接C,指数型-股票
019061,易方达软件ETF联接A,指数型-股票
019062,易方达软件ETF联接C,指数型-股票
019065,安信浩盈6个月持有混合C,混合型-偏债
019066,博时央创ETF联接E,指数型-股票
019068,永赢华嘉信用债E,债券型-混合一级
019071,嘉实国证通信ETF发起联接A,指数型-股票
019072,嘉实国证通信ETF发起联接C,指数型-股票
019073,建信鑫利灵活配置混合C,混合型-灵活
019075,嘉实全球产业精选混合发起式(QDII)人民币,QDII-混合偏股
019076,嘉实全球产业精选混合发起式(QDII)美元,QDII-混合偏股
019077,万家颐达灵活配置混合C,混合型-灵活
019079,国富招瑞优选股票A,股票型
019080,国富招瑞优选股票C,股票型
019085,工银价值精选混合A,混合型-偏股
019086,工银价值精选混合C,混合型-偏股
019087,工银中证稀有金属主题ETF发起式联接A,指数型-股票
019088,工银中证稀有金属主题ETF发起式联接C,指数型-股票
019089,华润元大信息传媒科技混合C,混合型-偏股
019090,博时中证新能源汽车ETF发起式联接A,指数型-股票
019091,博时中证新能源汽车ETF发起式联接C,指数型-股票
019092,金鹰核心资源混合C,混合型-偏股
019093,金鹰科技创新股票C,股票型
019094,金鹰中小盘精选混合C,混合型-偏股
019095,东方双债添利债券D,债券型-混合二级
019102,景顺长城恒生消费ETF联接(QDII)A,指数型-海外股票
019103,景顺长城恒生消费ETF联接(QDII)C,指数型-海外股票
019105,博时创业板ETF联接E,指数型-股票
019106,南方智信混合A,混合型-偏股
019107,南方智信混合C,混合型-偏股
019108,华宝国策导向混合C,混合型-偏股
019109,泰康丰盈债券C,债券型-混合二级
019110,泰康兴泰回报沪港深混合C,混合型-偏债
019113,东财慧心优选A,混合型-偏股
019114,东财慧心优选C,混合型-偏股
019115,东财卓越成长A,混合型-偏股
019116,东财卓越成长C,混合型-偏股
019117,国泰央企改革股票C,股票型
019118,景顺长城纳斯达克科技ETF联接(QDII)E人民币,指数型-海外股票
019119,财通资管产业优选混合发起式A,混合型-偏股
019120,财通资管产业优选混合发起式C,混合型-偏股
019124,博道红利智航股票A,股票型
019125,博道红利智航股票C,股票型
019126,华泰柏瑞港股通医疗精选混合发起式A,混合型-偏股
019127,华泰柏瑞港股通医疗精选混合发起式C,混合型-偏股
019130,天弘多元锐选一年持有混合A,混合型-偏债
019131,天弘多元锐选一年持有混合C,混合型-偏债
019136,交银启合混合A,混合型-偏股
019137,交银启合混合C,混合型-偏股
019141,易方达中证电信主题ETF联接发起式A,指数型-股票
019142,易方达中证电信主题ETF联接发起式C,指数型-股票
019143,东财景气驱动A,混合型-偏股
019144,东财景气驱动C,混合型-偏股
019146,农银均衡优选混合A,混合型-平衡
019147,农银均衡优选混合C,混合型-平衡
019148,富国腾享回报6个月滚动持有E,混合型-偏债
019149,富国产业债债券D,债券型-混合一级
019150,国联国企改革混合C,混合型-灵活
019151,东兴改革精选混合C,混合型-灵活
019152,大成可转债增强债券C,债券型-混合二级
019153,中欧锐意成长混合发起A,混合型-偏股
019154,中欧锐意成长混合发起C,混合型-偏股
019155,易方达全球配置混合(QDII)A(人民币),QDII-混合灵活
019156,易方达全球配置混合(QDII)C(人民币),QDII-混合灵活
019157,易方达全球配置混合(QDII)A(美元现汇),QDII-混合灵活
019158,易方达全球配置混合(QDII)C(美元现汇),QDII-混合灵活
019159,中欧产业领航混合A,混合型-偏股
019160,中欧产业领航混合C,混合型-偏股
019162,汇添富中证800价值ETF发起式联接A,指数型-股票
019163,汇添富中证800价值ETF发起式联接C,指数型-股票
019164,汇添富有色金属ETF联接A,指数型-股票
019165,汇添富有色金属ETF联接C,指数型-股票
019166,东兴蓝海财富混合C,混合型-灵活
019167,易方达中证物联网主题ETF联接发起式A,指数型-股票
019168,易方达中证物联网主题ETF联接发起式C,指数型-股票
019169,博时中证淘金大数据100C,指数型-股票
019170,天弘沪港深云计算ETF联接C,指数型-股票
019171,天弘沪港深云计算ETF联接A,指数型-股票
019172,摩根纳斯达克100指数(QDII)人民币A,指数型-海外股票
019173,摩根纳斯达克100指数(QDII)人民币C,指数型-海外股票
019174,摩根纳斯达克100指数(QDII)美元现汇A,指数型-海外股票
019175,摩根纳斯达克100指数(QDII)美元现汇C,指数型-海外股票
019176,汇添富添添乐双鑫债券A,债券型-混合二级
019177,汇添富添添乐双鑫债券C,债券型-混合二级
019180,光大动态优选灵活配置混合C,混合型-灵活
019181,光大一带一路混合C,混合型-偏股
019182,大成蓝筹稳健混合C,混合型-灵活
019183,大成精选增值混合C,混合型-灵活
019184,大成趋势回报灵活配置混合C,混合型-灵活
019185,泰康中证1000指数增强发起A,指数型-股票
019186,泰康中证1000指数增强发起C,指数型-股票
019189,华商品质价值混合A,混合型-偏股
019190,华商品质价值混合C,混合型-偏股
019194,融通产业趋势精选混合C,混合型-偏股
019195,博时量化平衡混合C,混合型-偏债
019197,大成国企改革灵活配置混合C,混合型-灵活
019198,华富灵活配置混合C,混合型-灵活
019199,华富国泰民安灵活配置混合C,混合型-灵活
019200,华富健康文娱灵活配置混合C,混合型-灵活
019201,大成盛世精选混合C,混合型-灵活
019205,鹏华优质企业混合C,混合型-偏股
019206,大成产业升级股票(LOF)C,股票型
019207,大成正向回报灵活配置混合C,混合型-灵活
019208,大成创新成长混合(LOF)C,混合型-灵活
019209,浦银精致生活混合C,混合型-灵活
019210,浦银沪深300指数增强C,指数型-股票
019213,华富物联世界灵活配置混合C,混合型-灵活
019215,景顺长城量化平衡混合C,混合型-灵活
019216,天弘价值精选混合发起C,混合型-灵活
019219,中信保诚先进制造混合A,混合型-偏股
019220,中信保诚先进制造混合C,混合型-偏股
019221,工银瑞享纯债债券D,债券型-混合一级
019222,大成灵活配置混合C,混合型-灵活
019223,大成一带一路灵活配置混合C,混合型-灵活
019224,大成国家安全主题灵活配置混合C,混合型-灵活
019225,大成行业轮动混合C,混合型-偏股
019226,方正富邦金立方一年持有期混合A,混合型-偏股
019227,方正富邦金立方一年持有期混合D,混合型-偏股
019228,方正富邦金立方一年持有期混合E,混合型-偏股
019230,广发全球稳健配置混合(QDII)人民币A,QDII-混合债
019231,广发全球稳健配置混合(QDII)人民币C,QDII-混合债
019232,广发全球稳健配置混合(QDII)美元A,QDII-混合债
019233,广发全球稳健配置混合(QDII)美元C,QDII-混合债
019234,光大均衡精选混合C,混合型-偏股
019235,华富策略精选混合C,混合型-灵活
019236,广发国证通信ETF发起式联接A,指数型-股票
019237,广发国证通信ETF发起式联接C,指数型-股票
019239,景顺长城创业板综指增强C,指数型-股票
019240,华泰柏瑞中证1000指数增强A,指数型-股票
019241,华泰柏瑞中证1000指数增强C,指数型-股票
019242,汇丰晋信2016周期混合C,混合型-偏债
019243,汇丰晋信大盘股票C,股票型
019244,汇丰晋信龙腾混合C,混合型-偏股
019252,光大创新生活混合C,混合型-偏股
019253,富安达科技创新混合C,混合型-偏股
019254,大成深证成长40ETF联接C,指数型-股票
019255,大成内需增长混合C,混合型-偏股
019257,恒越智选科技混合A,混合型-偏股
019258,恒越智选科技混合C,混合型-偏股
019259,国泰富时国企红利ETF联接A,指数型-股票
019260,富国恒生红利ETF联接A,指数型-股票
019261,富国恒生红利ETF联接C,指数型-股票
019265,南方港股数字经济混合发起(QDII)A,QDII-混合偏股
019266,南方港股数字经济混合发起(QDII)C,QDII-混合偏股
019267,富国新天锋债券(LOF)C,债券型-混合一级
019268,交银安心收益债券E,债券型-混合二级
019269,国泰富时国企红利ETF联接C,指数型-股票
019270,财通中证1000指数增强A,指数型-股票
019271,财通中证1000指数增强C,指数型-股票
019272,长城量化小盘股票C,股票型
019273,长城改革红利混合C,混合型-灵活
019274,长城核心优选混合C,混合型-灵活
019275,浙商汇金转型升级C,混合型-灵活
019276,长城智能产业混合C,混合型-灵活
019277,长城国企优选混合发起式A,混合型-偏股
019278,长城国企优选混合发起式C,混合型-偏股
019279,嘉实中证大农业ETF发起联接A,指数型-股票
019280,嘉实中证大农业ETF发起联接C,指数型-股票
019281,华西优选成长一年持有混合A,混合型-偏股
019283,南方睿阳稳健添利6个月持有债券A,债券型-混合二级
019284,南方睿阳稳健添利6个月持有债券C,债券型-混合二级
019287,鹏华丰诚债券D,债券型-混合一级
019291,德邦新回报灵活配置混合C,混合型-灵活
019292,浙商之江凤凰联接C,指数型-股票
019293,长江长扬混合发起A,混合型-偏股
019294,长江长扬混合发起C,混合型-偏股
019295,博时匠心优选混合A,混合型-偏股
019296,博时匠心优选混合C,混合型-偏股
019297,博时卓越优选混合A,混合型-偏股
019298,博时卓越优选混合C,混合型-偏股
019299,海富通国策导向混合C,混合型-偏股
019300,海富通国策导向混合D,混合型-偏股
019302,鹏华产业债债券C,债券型-混合一级
019303,光大红利混合C,混合型-偏股
019305,摩根标普500指数(QDII)人民币C,指数型-海外股票
019306,嘉实研究阿尔法股票C,股票型
019308,光大中小盘混合C,混合型-偏股
019309,中航恒宇港股通价值优选混合发起A,混合型-偏股
019310,中航恒宇港股通价值优选混合发起C,混合型-偏股
019311,南方富时中国国企开放共赢ETF发起联接A,指数型-股票
019312,南方富时中国国企开放共赢ETF发起联接C,指数型-股票
019313,易方达中证港股通互联网ETF发起式联接A,指数型-股票
019314,易方达中证港股通互联网ETF发起式联接C,指数型-股票
019315,易方达中证新能源ETF联接发起式A,指数型-股票
019316,易方达中证新能源ETF联接发起式C,指数型-股票
019318,汇添富国证2000指数增强A,指数型-股票
019319,汇添富国证2000指数增强C,指数型-股票
019320,易方达中证500质量成长ETF联接发起式A,指数型-股票
019321,易方达中证500质量成长ETF联接发起式C,指数型-股票
019322,中信建投致远混合A,混合型-偏股
019323,中信建投致远混合C,混合型-偏股
019324,易方达中证生物科技主题ETF发起式联接A,指数型-股票
019325,易方达中证生物科技主题ETF发起式联接C,指数型-股票
019328,国泰金盛回报混合A,混合型-偏股
019329,国泰金盛回报混合C,混合型-偏股
019330,华泰柏瑞中证沪港深云计算产业ETF发起式联接A,指数型-股票
019331,华泰柏瑞中证沪港深云计算产业ETF发起式联接C,指数型-股票
019334,大成红利汇聚混合A,混合型-偏股
019335,大成红利汇聚混合C,混合型-偏股
019336,万家国企动力混合A,混合型-偏股
019337,万家国企动力混合C,混合型-偏股
019338,创金合信启富优选股票发起A,股票型
019339,创金合信启富优选股票发起C,股票型
019340,西部利得研究精选混合A,混合型-偏股
019341,西部利得研究精选混合C,混合型-偏股
019342,富国价值发现混合A,混合型-偏股
019343,富国价值发现混合C,混合型-偏股
019345,交银医疗健康混合发起A,混合型-偏股
019346,交银医疗健康混合发起C,混合型-偏股
019347,富国匠心成长混合A,混合型-偏股
