entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2024-05-27,2024-06-26,long,12400,44.54,54.77,126204.56,22.97,30,sz300502,sz300502,sz300502
2024-05-27,2024-06-26,long,17900,30.84,35.55,83693.73,15.27,30,sz002463,sz002463,sz002463
2024-05-27,2024-06-26,long,4600,118.29,137.14,86100.83,15.94,30,sz300308,sz300308,sz300308
2024-10-31,2024-11-08,long,22300,28.66,33.42,105429.27,16.61,8,sz002384,sz002384,sz002384
2024-10-31,2024-11-15,long,9900,64.45,68.77,42097.87,6.7,15,sz300502,sz300502,sz300502
2024-10-31,2024-11-15,long,14500,43.93,42.99,-14256.76,-2.14,15,sz300476,sz300476,sz300476
2024-10-31,2024-11-18,long,16000,40.04,38.19,-30218.44,-4.62,18,sz002463,sz002463,sz002463
2024-11-29,2024-12-30,long,11700,56.84,65.47,100230.24,15.18,31,sz300502,sz300502,sz300502
2024-11-29,2024-12-30,long,26000,25.61,30.36,122741.51,18.55,31,sz002384,sz002384,sz002384
2024-11-29,2024-12-30,long,622800,1.071,1.097,15513.64,2.43,31,sz159841,sz159841,sz159841
2024-11-29,2024-12-31,long,18100,36.71,45.83,164283.74,24.84,32,sz300476,sz300476,sz300476
2024-12-30,2025-01-02,long,63600,12.19,11.41,-50346.08,-6.4,3,sz002185,sz002185,sz002185
2024-12-30,2025-01-03,long,544000,1.427,1.321,-58397.04,-7.43,4,sh515880,sh515880,sh515880
2024-12-30,2025-01-10,long,31700,21.74,19.76,-63408.08,-9.11,11,sh601138,sh601138,sh601138
2025-02-06,2025-02-18,long,5400,132.53,126.86,-31310.7,-4.28,12,sh603986,sh603986,sh603986
2025-02-06,2025-02-28,long,27400,26.44,29.43,81140.1,11.31,22,sh600183,sh600183,sh600183
2025-02-06,2025-03-03,long,24000,30.12,31.92,42444.72,5.98,25,sz002384,sz002384,sz002384
2025-02-06,2025-03-04,long,94900,7.63,9.62,187985.27,26.08,26,sz000759,sz000759,sz000759
2025-03-07,2025-03-19,long,28800,27.58,29.55,55899.14,7.14,12,sh600183,sh600183,sh600183
2025-03-07,2025-03-21,long,87800,9.05,8.78,-24482.81,-2.98,14,sz000759,sz000759,sz000759
2025-03-07,2025-03-31,long,13700,57.6,82.09,334472.25,42.52,24,sz300476,sz300476,sz300476
2025-03-07,2025-04-07,long,773100,1.028,0.94,-68776.52,-8.56,31,sz159841,sz159841,sz159841
2025-05-12,2025-05-27,long,6900,124.98,114.94,-70086.41,-8.03,15,sh603986,sh603986,sh603986
2025-05-12,2025-06-11,long,103200,8.42,8.0,-44180.44,-4.99,30,sz000759,sz000759,sz000759
2025-05-12,2025-06-11,long,29700,29.25,32.29,89351.56,10.39,30,sh603228,sh603228,sh603228
2025-06-11,2025-07-10,long,107300,6.74,7.2,48597.78,6.82,29,sz002474,sz002474,sz002474
2025-06-11,2025-07-10,long,13000,71.44,98.12,345651.15,37.35,29,sz300502,sz300502,sz300502
2025-06-11,2025-07-10,long,34700,26.8,32.96,212661.73,22.99,29,sh600183,sh600183,sh600183
2025-07-10,2025-08-04,long,24200,50.15,61.03,261884.9,21.69,25,sh603228,sh603228,sh603228
2025-07-10,2025-08-05,long,16000,47.34,54.1,107321.44,14.28,26,sz002384,sz002384,sz002384
2025-07-10,2025-08-08,long,25200,48.18,50.77,64004.91,5.38,29,sz002463,sz002463,sz002463
2025-05-12,2025-08-08,long,11000,78.99,186.92,1185470.69,136.64,88,sz300476,sz300476,sz300476
