model_index,name,_fam,cfg,scan_sharpe,scan_cagr,rc_sharpe,rc_cagr,rc_mdd,rc_win,rc_turn,rc_nper,_min,rob_median,_max,G2med,ex_gross,ex_net,ir,t_net,ex_win,n_pass,_dmax
5442,L2b::ln_amt20+atr20+vr5_20::-+-,L2b,5/60,1.3262,0.465,1.3262,0.465,-0.3231,0.8636,0.9545,22,0.1096,0.6226,1.3262,0.8176,0.0874,0.0772,1.1499,2.6318,0.7273,8,0.0
9536,L3_ic::ln_amt20+apvc20+intraday20+pvc20+amp20+vr5_20,L3_ic,10/60,1.0058,0.2451,1.0058,0.2451,-0.1919,0.5909,0.9818,22,-0.0322,0.6187,1.0058,0.6879,0.0415,0.0311,0.5667,1.297,0.6818,8,0.0
8183,L3_icir::ln_amt20+intraday20+pvc20+atr20+vr5_20,L3_icir,10/60,1.1122,0.2736,1.1122,0.2736,-0.114,0.6818,0.9727,22,-0.0011,0.6133,1.1122,0.7611,0.0465,0.0362,0.6125,1.4017,0.6364,8,0.0
7959,L3_icir::ln_amt20+apvc20+intraday20+atr20+vr5_20,L3_icir,10/60,1.0484,0.2461,1.0484,0.2461,-0.1496,0.6364,0.9864,22,-0.1271,0.6091,1.0484,0.7929,0.0409,0.0305,0.5379,1.231,0.5909,8,0.0
5454,L2b::ln_amt20+ret60+ret20::-+-,L2b,20/60,1.0346,0.2514,1.0346,0.2514,-0.1395,0.6818,0.9681,22,-0.1327,0.6045,1.0346,0.8026,0.042,0.0317,0.9465,2.1663,0.5909,8,0.0
9537,L3_icir::ln_amt20+apvc20+intraday20+pvc20+amp20+vr5_20,L3_icir,10/60,1.0029,0.2613,1.0029,0.2613,-0.1948,0.6818,0.9818,22,-0.0456,0.5984,1.0029,0.7586,0.0454,0.035,0.5931,1.3574,0.5455,8,0.0
9527,L3_icir::ln_amt20+apvc20+intraday20+pvc20+atr20+vr5_20,L3_icir,10/60,1.038,0.27,1.038,0.27,-0.1681,0.6818,0.9818,22,-0.0701,0.5652,1.038,0.7697,0.047,0.0366,0.6189,1.4164,0.5455,8,0.0
9526,L3_ic::ln_amt20+apvc20+intraday20+pvc20+atr20+vr5_20,L3_ic,10/60,0.9688,0.2354,0.9688,0.2354,-0.1919,0.5909,0.9818,22,-0.0225,0.5644,0.9688,0.6508,0.0396,0.0292,0.5311,1.2155,0.6364,8,0.0
8416,L3_ic::ln_amt20+pvc20+ret60+ret20+vr5_20,L3_ic,5/60,1.2967,0.3234,1.2967,0.3234,-0.1864,0.7273,0.9909,22,-0.1785,0.511,1.2967,0.4817,0.0567,0.0462,0.8554,1.9577,0.5909,8,0.0
8136,L3_ic::ln_amt20+apvc20+ret60+ret20+vr5_20,L3_ic,5/60,1.4291,0.3598,1.4291,0.3598,-0.1864,0.8182,0.9909,22,-0.1897,0.5004,1.4291,0.453,0.0634,0.0529,1.0952,2.5066,0.5909,8,0.0
8027,L3_icir::ln_amt20+apvc20+pvc20+ret20+vr5_20,L3_icir,10/60,1.3109,0.4219,1.3109,0.4219,-0.2769,0.7727,0.9864,22,-0.1407,0.4778,1.3109,0.6745,0.0785,0.0681,1.2301,2.8152,0.7727,8,0.0
8020,L3_ic::ln_amt20+apvc20+pvc20+ret60+vr5_20,L3_ic,5/60,1.4618,0.3912,1.4618,0.3912,-0.241,0.6818,0.9909,22,-0.0563,0.4613,1.4618,0.6074,0.0703,0.0598,1.1432,2.6165,0.7273,8,0.0
8137,L3_icir::ln_amt20+apvc20+ret60+ret20+vr5_20,L3_icir,5/60,1.4546,0.3215,1.4546,0.3215,-0.1906,0.7273,0.9909,22,-0.0811,0.4533,1.4546,0.5336,0.0549,0.0444,0.9787,2.2399,0.6818,8,0.0
8118,L3_ic::ln_amt20+apvc20+vol20+ret20+vr5_20,L3_ic,5/60,1.2917,0.2613,1.2917,0.2613,-0.1987,0.7273,0.9909,22,-0.2808,0.4348,1.2917,0.4758,0.0425,0.032,0.6254,1.4314,0.6818,8,0.0
6992,L3_ic::ln_amt20+apvc20+ret60+vr5_20,L3_ic,5/60,1.5626,0.474,1.5626,0.474,-0.1773,0.7727,0.9909,22,-0.0803,0.4284,1.5626,0.6217,0.0861,0.0756,1.4114,3.2303,0.7273,8,0.0
1754,L2::ln_amt20+apvc20+vr20_60+ret20+vr5_20,L2,5/60,1.3564,0.3656,1.3564,0.3656,-0.1931,0.7273,1.0,22,-0.4561,0.4263,1.3564,0.6787,0.0656,0.055,1.0901,2.495,0.7273,8,0.0
8119,L3_icir::ln_amt20+apvc20+vol20+ret20+vr5_20,L3_icir,5/60,1.4053,0.2708,1.4053,0.2708,-0.1642,0.7273,1.0,22,-0.3982,0.4201,1.4053,0.5311,0.044,0.0334,0.6949,1.5904,0.6818,8,0.0
7120,L3_ic::ln_amt20+pvc20+ret60+vr5_20,L3_ic,5/60,1.371,0.4057,1.371,0.4057,-0.1773,0.7273,0.9727,22,-0.0709,0.4029,1.371,0.6484,0.0739,0.0636,1.1505,2.6331,0.6818,8,0.0
7915,L3_icir::ln_amt20+apvc20+intraday20+pvc20+vr5_20,L3_icir,10/60,1.5205,0.4012,1.5205,0.4012,-0.177,0.7727,0.9909,22,-0.0304,0.3951,1.5205,0.7217,0.0714,0.0609,1.064,2.4353,0.8636,8,0.0
