code,entry_date,entry_px,exit_date,exit_px,ret,hold,regime,ex_b,ex_m
sz002622,2020-03-26,3.2787449999999994,2020-04-10,3.68,0.1159269781578014,10,bear,0.11126485844719158,0.13692880315624578
sh600223,2020-03-26,6.708352499999999,2020-04-09,6.78,0.004868930188149934,9,bear,-0.023558900857012732,0.0013332612656558052
sz002273,2020-03-26,12.7227375,2020-04-21,12.29,-0.039567349401023244,17,bear,-0.05769209988698021,-0.010196319702664103
sz000639,2020-03-26,5.06898,2020-03-31,5.65,0.10821358537615078,3,bear,0.13392505887024375,0.13974136643639423
sh603348,2020-03-26,17.7112575,2020-05-20,18.14,0.018318151604989286,35,bear,-0.005642683645378455,0.08662492155191415
sz002536,2020-03-26,4.455472499999999,2020-04-09,4.91,0.09567896558670275,9,bear,0.06725113454154008,0.09214329666420862
sz002126,2020-03-26,8.36784,2020-04-14,8.34,-0.00905789307634941,12,bear,-0.023096085029074676,0.007058018104902475
sz002058,2020-03-27,18.6566625,2020-04-21,18.18,-0.031152276030077863,16,bear,-0.05315971576868617,-0.005308241136593894
sz002750,2020-03-30,9.836234999999999,2020-04-08,10.05,0.01585743935560724,6,bear,-0.030624041171519067,-0.013216643698455321
sz002466,2020-04-02,18.3549375,2020-04-21,18.01,-0.0244345697172762,12,bear,-0.053563159609192,-0.014737271028610666
sz002552,2020-04-03,16.0618275,2020-04-21,15.81,-0.02133848094184798,11,bear,-0.055537980542969656,-0.020359919418725836
sz002537,2020-04-03,5.1997275,2020-04-09,6.77,0.2945048562641024,3,bear,0.2498396050410947,0.26161414497795166
sh603186,2020-04-03,45.7716825,2020-04-20,49.82,0.08218733274661694,10,bear,0.04298628972505791,0.0738466322951552
sz002413,2020-04-03,6.939675,2020-04-21,7.63,0.09315313757488641,11,bear,0.05895363797376474,0.09413169909800856
sz002452,2020-04-03,5.7227175,2020-04-15,6.44,0.11886878917227706,7,bear,0.09510918321297313,0.11608216246238068
sh603618,2020-04-03,5.47128,2020-04-22,5.36,-0.0259719846178591,12,bear,-0.06969179194194808,-0.030251430665667933
sh600468,2020-09-29,4.807485,2020-11-17,4.86,0.005110780376849977,29,bear,-0.030025763619354606,0.026655253902757692
sz000410,2020-11-02,4.123574999999999,2020-11-17,4.22,0.01749937857320427,11,bear,-0.015342959458713112,0.004264076456784505
sh600989,2021-03-12,13.949752499999999,2021-03-31,13.67,-0.025688986238286304,13,bear,-0.04367711563752863,-0.018431974814664298
sh600531,2021-03-16,5.4813374999999995,2021-04-16,5.25,-0.04771189513508334,22,bear,-0.07845061492130279,-0.03268822776588354
sh603416,2021-04-28,62.587822499999994,2021-05-31,55.38,-0.12025114789702096,20,bear,-0.17397450915431145,-0.12221735288322377
sz002893,2021-04-28,9.132209999999999,2021-05-10,10.26,0.11703574490731183,5,bear,0.12299057054102569,0.12680070022513468
sh603324,2021-05-10,27.31617,2021-06-03,28.13,0.023871666489116095,18,bear,-0.03841098298307921,0.017248584024996072
sh601689,2021-07-09,22.6997775,2021-08-03,23.65,0.035869734846519785,17,bear,0.03186512565787569,0.08454243576445997
sh603882,2021-07-21,124.13972249999999,2021-08-03,126.1,0.009950098768748195,9,bear,0.022427842703302003,0.04793682753162842
sh603351,2021-08-02,17.1078075,2021-08-16,17.96,0.043776649930156175,10,bear,0.0067848867598019336,0.03723829049074978
sh600732,2021-08-02,9.01152,2021-08-17,9.38,0.034904766343524685,11,bear,0.022716804649925315,0.05349845083518967
sz002833,2021-08-03,18.82764,2021-08-12,20.13,0.06302502597245319,7,bear,0.02483055741492124,0.054300088954147396
sz002816,2021-08-10,18.0934425,2021-08-25,18.9,0.03857101820176001,11,bear,0.012571704458491872,0.04430239673366254
sh603259,2021-08-25,120.48884999999999,2021-09-07,129.13,0.06555504928464329,9,bear,0.04191816016930727,0.06176749054004649
sh600298,2021-09-02,39.9182175,2021-09-22,39.23,-0.02289155321126246,12,bear,-0.03702804995905107,-0.004116776913701825
sz002900,2021-09-07,19.6624125,2021-09-24,20.11,0.01688271975781208,11,bear,0.03624436328968561,0.06249560874444082
sz002674,2021-10-11,10.298879999999999,2021-11-17,9.92,-0.042326932637335224,27,bear,-0.08424185209224389,-0.011208862358545346
sz002163,2021-10-11,13.859234999999998,2021-10-27,14.13,0.013674456057639839,12,bear,0.04452128959876844,0.07395775033815855
sz000422,2021-10-13,18.968445,2021-10-21,24.76,0.29782014287412606,6,bear,0.2943393909138712,0.3138104458386771
sz002455,2021-10-15,15.40809,2021-10-26,17.6,0.13568910877337803,7,bear,0.13628787042892365,0.15570782477528855
sh600869,2021-10-15,5.571854999999999,2021-10-29,5.92,0.05637350577141742,10,bear,0.0767040370685077,0.10003449140197318
sz002617,2021-10-15,8.6393925,2021-10-25,10.32,0.18765989622534218,6,bear,0.1843578150724754,0.20151520792537803
sz002171,2021-10-15,9.423877499999998,2021-10-27,9.55,0.007556337611561936,8,bear,0.02505949255065454,0.04742277582102883
sz002610,2021-10-15,4.3146675,2021-10-20,5.58,0.28582677575966176,3,bear,0.275709506993175,0.2857008085932149
