cfg,n,wr,med,mean,ann,sharpe,pf,hold,ex_b,ex_m,max_dd,gate,yearly
E6_多头新高_X2_tp8_pure,69257,50.88,0.119,-0.711,-7.95,-0.219,0.79,21.7,-1.448,3.215,100.0,0,"{2016: np.float64(-1.27), 2017: np.float64(-3.95), 2018: np.float64(-2.95), 2019: np.float64(-0.68), 2020: np.float64(-0.42), 2021: np.float64(-1.43), 2022: np.float64(0.28), 2023: np.float64(-1.95), 2024: np.float64(1.17), 2025: np.float64(0.84), 2026: np.float64(-2.46)}"
E6_多头新高_X3_tp8sl7_kh,11969,42.25,-1.664,-1.21,-40.12,-0.983,0.96,6.0,-1.342,0.205,100.0,0,"{2016: np.float64(-1.8), 2017: np.float64(-1.98), 2018: np.float64(-3.28), 2019: np.float64(-1.34), 2020: np.float64(-0.68), 2021: np.float64(-1.39), 2022: np.float64(-1.39), 2023: np.float64(-1.77), 2024: np.float64(-1.5), 2025: np.float64(-0.31), 2026: np.float64(-1.27)}"
E6_多头新高_X3_tp8sl7_pure,74763,40.87,-1.143,-1.128,-43.43,-1.089,0.99,5.0,-1.212,0.113,100.0,0,"{2016: np.float64(-1.25), 2017: np.float64(-1.77), 2018: np.float64(-3.54), 2019: np.float64(-0.71), 2020: np.float64(-1.23), 2021: np.float64(-1.28), 2022: np.float64(-1.49), 2023: np.float64(-1.7), 2024: np.float64(-0.94), 2025: np.float64(-0.51), 2026: np.float64(-1.32)}"
E6_多头新高_X4_ma5_kh,12058,33.36,-2.136,-1.229,-70.55,-1.839,1.22,2.5,-1.365,-0.638,100.0,0,"{2016: np.float64(-1.55), 2017: np.float64(-1.59), 2018: np.float64(-2.52), 2019: np.float64(-1.53), 2020: np.float64(-0.66), 2021: np.float64(-1.32), 2022: np.float64(-1.45), 2023: np.float64(-1.52), 2024: np.float64(-1.35), 2025: np.float64(-0.97), 2026: np.float64(-0.86)}"
E6_多头新高_X4_ma5_pure,80491,32.48,-1.829,-1.172,-75.32,-2.096,1.22,2.1,-1.269,-0.654,100.0,0,"{2016: np.float64(-1.3), 2017: np.float64(-1.42), 2018: np.float64(-2.33), 2019: np.float64(-1.2), 2020: np.float64(-1.09), 2021: np.float64(-1.25), 2022: np.float64(-1.61), 2023: np.float64(-1.46), 2024: np.float64(-0.86), 2025: np.float64(-0.95), 2026: np.float64(-1.05)}"
E7_多头动量_X1_rsi75_kh,13557,51.12,0.218,-0.62,-4.3,-0.107,0.85,35.7,-1.968,5.663,100.0,0,"{2016: np.float64(-2.4), 2017: np.float64(-6.58), 2018: np.float64(-2.32), 2019: np.float64(-2.37), 2020: np.float64(-0.63), 2021: np.float64(-1.53), 2022: np.float64(2.13), 2023: np.float64(-2.71), 2024: np.float64(3.35), 2025: np.float64(2.06), 2026: np.float64(-4.79)}"
E7_多头动量_X1_rsi75_pure,114175,48.98,-0.135,-0.269,-2.26,-0.058,0.98,29.7,-1.527,4.869,100.0,0,"{2016: np.float64(-1.5), 2017: np.float64(-4.11), 2018: np.float64(-2.18), 2019: np.float64(-0.15), 2020: np.float64(0.05), 2021: np.float64(-1.16), 2022: np.float64(1.29), 2023: np.float64(-2.28), 2024: np.float64(2.51), 2025: np.float64(1.72), 2026: np.float64(-2.79)}"
E7_多头动量_X2_tp8_kh,13901,55.6,1.183,-0.558,-4.75,-0.126,0.71,29.0,-1.695,4.53,100.0,0,"{2016: np.float64(-2.14), 2017: np.float64(-5.83), 2018: np.float64(-2.48), 2019: np.float64(-1.6), 2020: np.float64(-0.35), 2021: np.float64(-1.23), 2022: np.float64(1.78), 2023: np.float64(-2.44), 2024: np.float64(2.45), 2025: np.float64(1.52), 2026: np.float64(-3.99)}"
E7_多头动量_X2_tp8_pure,129308,53.35,0.483,-0.354,-3.58,-0.097,0.8,24.5,-1.375,3.927,100.0,0,"{2016: np.float64(-1.36), 2017: np.float64(-3.73), 2018: np.float64(-2.42), 2019: np.float64(-0.21), 2020: np.float64(-0.1), 2021: np.float64(-0.93), 2022: np.float64(1.11), 2023: np.float64(-2.1), 2024: np.float64(1.76), 2025: np.float64(1.22), 2026: np.float64(-2.31)}"
E7_多头动量_X3_tp8sl7_kh,14352,40.54,-2.333,-1.227,-45.46,-1.023,1.04,5.1,-1.399,0.002,100.0,0,"{2016: np.float64(-1.76), 2017: np.float64(-1.85), 2018: np.float64(-4.07), 2019: np.float64(-1.11), 2020: np.float64(-1.42), 2021: np.float64(-1.26), 2022: np.float64(-1.1), 2023: np.float64(-1.71), 2024: np.float64(-0.83), 2025: np.float64(-0.59), 2026: np.float64(-1.58)}"
E7_多头动量_X3_tp8sl7_pure,151347,41.31,-1.35,-0.913,-33.51,-0.766,1.08,5.7,-1.169,0.373,100.0,0,"{2016: np.float64(-1.58), 2017: np.float64(-1.74), 2018: np.float64(-3.89), 2019: np.float64(-0.39), 2020: np.float64(-1.26), 2021: np.float64(-1.12), 2022: np.float64(-0.77), 2023: np.float64(-1.65), 2024: np.float64(-0.0), 2025: np.float64(-0.44), 2026: np.float64(-1.16)}"
E7_多头动量_X4_ma5_kh,14677,32.0,-2.195,-1.191,-74.16,-1.811,1.33,2.2,-1.288,-0.636,100.0,0,"{2016: np.float64(-1.41), 2017: np.float64(-1.4), 2018: np.float64(-2.82), 2019: np.float64(-1.16), 2020: np.float64(-1.34), 2021: np.float64(-1.02), 2022: np.float64(-1.08), 2023: np.float64(-1.63), 2024: np.float64(-1.04), 2025: np.float64(-1.05), 2026: np.float64(-0.79)}"
E7_多头动量_X4_ma5_pure,204964,28.99,-1.798,-1.094,-76.43,-2.228,1.38,1.9,-1.193,-0.622,100.0,0,"{2016: np.float64(-1.44), 2017: np.float64(-1.5), 2018: np.float64(-2.21), 2019: np.float64(-0.85), 2020: np.float64(-1.3), 2021: np.float64(-1.21), 2022: np.float64(-1.28), 2023: np.float64(-1.39), 2024: np.float64(-0.54), 2025: np.float64(-1.04), 2026: np.float64(-0.9)}"
