,0
2023-02-03,227274.29261239895
2023-02-06,226974.29306539425
2023-02-07,229165.29164346584
2023-02-08,230066.28904374965
2023-02-09,231968.29152139553
2023-02-10,233709.29081472286
2023-02-13,235409.29250749477
2023-02-14,236608.29033883938
2023-02-15,234067.56826698477
2023-02-16,232304.56878006156
2023-02-17,233546.5683108538
2023-02-20,234696.56525909598
2023-02-21,237857.5690871447
2023-02-22,237680.5671817034
2023-02-23,236985.5655556887
2023-02-24,235692.56833851035
2023-02-27,234533.5666543215
2023-02-28,235435.56641399558
2023-03-01,236574.5663052767
2023-03-02,234913.57067882712
2023-03-03,235477.567422983
2023-03-06,234638.56755554373
2023-03-07,230871.56618892844
2023-03-08,230353.56527626212
2023-03-09,229157.5676089495
2023-03-10,222951.5665656298
2023-03-13,224580.5682069033
2023-03-14,223054.57059204276
2023-03-15,225109.51405130257
2023-03-16,223181.51445947518
2023-03-17,222892.51452051033
2023-03-20,222095.51458917488
2023-03-21,223353.51648889412
2023-03-22,223767.5149973475
2023-03-23,224539.51473794808
2023-03-24,224673.51570688118
2023-03-27,225537.51535974373
2023-03-28,223851.5144404017
2023-03-29,223047.51577936043
2023-03-30,224145.5173548304
2023-03-31,225143.51616464485
2023-04-03,226493.5154017054
2023-04-04,226048.51465783943
2023-04-06,227749.5158251368
2023-04-07,228188.51614557137
2023-04-10,226240.5137117945
2023-04-11,226367.51509271492
2023-04-12,226212.51612268318
2023-04-13,222935.202741273
2023-04-14,223979.20443976697
2023-04-17,224530.20536864575
2023-04-18,223064.20555079755
2023-04-19,220263.20235694226
2023-04-20,216783.20596183118
2023-04-21,213072.2031351405
2023-04-24,212874.20515979108
2023-04-25,206174.20468295392
2023-04-26,209949.2031093913
2023-04-27,210016.2034508067
2023-04-28,212859.20474494275
2023-05-04,214338.20483649548
2023-05-05,211281.20379412945
2023-05-08,213284.20293296155
2023-05-09,209247.20532859143
2023-05-10,212603.20451224622
2023-05-11,214422.2020622569
2023-05-12,211947.20418418225
2023-05-15,214778.20286715802
2023-05-16,213631.2429881867
2023-05-17,214895.24373777473
2023-05-18,214763.2440543946
2023-05-19,215423.24394949042
2023-05-22,216654.24480207526
2023-05-23,216582.24415548408
2023-05-24,216270.243356305
2023-05-25,215503.24358709418
2023-05-26,215535.2459407624
2023-05-29,214748.24423559272
2023-05-30,214094.24423940742
2023-05-31,213766.24264486396
2023-06-01,214213.24338682258
2023-06-02,215465.2438617524
2023-06-05,215277.24318273627
2023-06-06,213463.24400671088
2023-06-07,215187.2425056275
2023-06-08,213730.24358518684
2023-06-09,214441.24254949653
2023-06-12,215913.24290998542
2023-06-13,216299.92445086857
2023-06-14,215974.924713129
2023-06-15,216913.9243898334
2023-06-16,217833.9227971973
2023-06-19,217088.9248428287
2023-06-20,216431.92341899296
2023-06-21,214111.92365264316
2023-06-26,212969.92395495792
2023-06-27,215529.92420768162
2023-06-28,215652.92428111454
2023-06-29,215549.92387866398
2023-06-30,219034.92317771335
2023-07-03,220444.92309665104
2023-07-04,221436.92322348972
2023-07-05,220031.9235620441
2023-07-06,219685.92444037815
2023-07-07,218403.923922533
2023-07-10,219608.92496680637
2023-07-11,219836.92372416874
2023-07-12,218070.92412089725
2023-07-13,219887.6446322108
2023-07-14,219723.72728144177
2023-07-17,219651.264293542
2023-07-18,218481.91676889904
2023-07-19,218365.97538744457
2023-07-20,217852.86956583508
2023-07-21,217580.81551348217
2023-07-24,217360.67953859814
2023-07-25,220346.11140047558
2023-07-26,219314.00509630688
2023-07-27,218725.7091597224
2023-07-28,219406.0884073878
2023-07-31,221192.32950960644
2023-08-01,220384.7622469569
2023-08-02,220067.2790125514
2023-08-03,220479.2235926295
2023-08-04,221574.17083536633
2023-08-07,221467.84463678845
2023-08-08,221556.22359072216
2023-08-09,222450.51904474743
2023-08-10,222108.640386322
2023-08-11,219627.6405827789
2023-08-14,219279.63967488095
2023-08-15,217780.63974545285
2023-08-16,216692.63963864133
2023-08-17,218383.640386322
2023-08-18,216360.6396214752
2023-08-21,215128.64113018796
2023-08-22,215210.6405751495
2023-08-23,212631.63962528988
2023-08-24,213016.6395203857
2023-08-25,211026.64003536984
2023-08-28,211844.64197323605
2023-08-29,214457.6394574432
2023-08-30,215140.64083264157
2023-08-31,214388.63940403744
2023-09-01,214435.6399552612
2023-09-04,216024.63994190976
2023-09-05,216785.64081356808
2023-09-06,216958.64086315915
2023-09-07,211689.5578106604
2023-09-08,211654.5585831366
2023-09-11,216536.55755126098
2023-09-12,217416.55673586944
2023-09-13,214600.56080424407
2023-09-14,213463.55766856292
2023-09-15,213683.557554122
2023-09-18,215659.55867373565
2023-09-19,213787.5570496283
2023-09-20,212971.559258338
2023-09-21,211207.5564583502
2023-09-22,214468.5576399527
2023-09-25,214896.55725562194
2023-09-26,214301.5583714209
2023-09-27,218419.55904566863
2023-09-28,219251.55860983947
2023-10-09,216102.55837046722
2023-10-10,213073.55801665405
2023-10-11,214257.55560004333
2023-10-12,216855.55936896423
2023-10-13,212513.13937745098
2023-10-16,211056.14167294506
2023-10-17,211098.14382634166
2023-10-18,206468.1408985615
2023-10-19,205140.14049611095
2023-10-20,204373.1394394398
2023-10-23,199228.14088902477
2023-10-24,203531.14081463817
2023-10-25,205135.14138302807
2023-10-26,205024.13953385357
2023-10-27,209286.13988003734
2023-10-30,209455.1408394337
2023-10-31,208921.13758168224
2023-11-01,209187.1404274464
2023-11-02,208094.14094529155
2023-11-03,210176.13922200206
2023-11-06,215350.14215550426
2023-11-07,216140.14259419445
2023-11-08,217250.1421316624
2023-11-09,217372.14399418834
2023-11-10,215580.77401514834
2023-11-13,217801.77473421878
2023-11-14,218278.77625819034
2023-11-15,219611.77532072848
2023-11-16,217374.7737824518
2023-11-17,217521.77502508945
2023-11-20,219256.77477713412
2023-11-21,219868.7746703226
2023-11-22,218945.77428694553
2023-11-23,219361.77200671023
2023-11-24,218077.77435179538
2023-11-27,217874.77404471225
2023-11-28,218510.77570315188
2023-11-29,216668.7720715601
2023-11-30,217723.7724721033
2023-12-01,218260.7739388544
2023-12-04,218676.77337523288
2023-12-05,215728.77365942782
2023-12-06,215855.77344294376
2023-12-07,214471.77302237338
2023-12-08,213628.67447246908
2023-12-11,214054.6746384084
2023-12-12,215159.67398990988
2023-12-13,214034.67308391928
2023-12-14,214697.67385830282
2023-12-15,214695.67371715902
2023-12-18,212512.67472614645
2023-12-19,214004.67244495748
2023-12-20,213777.67282833456
2023-12-21,214784.6743236959
2023-12-22,212131.67601932882
2023-12-25,211462.67405857443
2023-12-26,211270.6757198751
2023-12-27,211216.67462696432
2023-12-28,215945.67538608907
2023-12-29,217328.6751400411
2024-01-02,215675.67349781393
2024-01-03,215915.67503322958
2024-01-04,213805.67423214315
2024-01-05,212009.67384685873
2024-01-08,209351.39942950825
2024-01-09,210142.39734000782
2024-01-10,210233.39935130696
2024-01-11,211381.39801807026
2024-01-12,211196.39812297444
2024-01-15,210736.39803714375
2024-01-16,210522.39831275563
2024-01-17,207544.39950770955
2024-01-18,207955.39789981465
2024-01-19,207166.40032119374
2024-01-22,202161.39787025074
2024-01-23,203582.39842242817
2024-01-24,204892.39838904957
2024-01-25,208125.3993350945
2024-01-26,209445.39793319325
2024-01-29,207311.39889545063
2024-01-30,203954.39911670308
2024-01-31,199321.39838523488
2024-02-01,197867.4002963982
2024-02-02,196283.39806384663
2024-02-05,189322.99339184118
2024-02-06,190485.99335560156
2024-02-07,191462.9956901963
2024-02-08,195562.9942596848
2024-02-19,198160.99459537817
2024-02-20,200804.99469646765
2024-02-21,201889.9925411637
2024-02-22,205309.99395260168
2024-02-23,208434.99328502966
2024-02-26,210585.993784755
2024-02-27,215547.99453625036
2024-02-28,207021.99227222754
2024-02-29,210642.99332508398
2024-03-01,212415.9928978379
2024-03-04,211803.99381527258
2024-03-05,209753.99343380285
2024-03-06,209617.99237140967
2024-03-07,209802.99331554724
2024-03-08,210071.99317821814
2024-03-11,211975.99298366858
2024-03-12,217461.87721718015
2024-03-13,213656.8791054553
2024-03-14,214183.87977111997
2024-03-15,215761.87783706846
2024-03-18,217793.87883175077
2024-03-19,217622.87961471739
2024-03-20,219664.87969387235
2024-03-21,220960.8771227664
2024-03-22,216507.87867534818
2024-03-25,215282.87972438993
2024-03-26,218976.8806837863
2024-03-27,215216.8770932025
2024-03-28,215588.87595165434
2024-03-29,213611.87733638944
2024-04-01,216717.87883270445
2024-04-02,216858.87831676664
2024-04-03,214975.8778952426
2024-04-08,210378.87722480955
2024-04-09,213548.87587059202
2024-04-10,208955.87669838133
2024-04-11,207056.45218181887
2024-04-12,204995.451906207
2024-04-15,200964.4516973523
2024-04-16,193756.4524440793
2024-04-17,199386.4513187436
2024-04-18,198713.4517459897
2024-04-19,196985.45291710176
2024-04-22,198042.451408389
2024-04-23,198270.45131016054
2024-04-24,199047.45142746248
2024-04-25,199116.45264911928
2024-04-26,201902.452281001
2024-04-29,206424.45287990847
2024-04-30,205787.45239067354
2024-05-06,207787.45217609682
2024-05-07,208526.45354557314
