sym,close,amt20_wan,volbr,ret20_pct,comp_prov,rank_prov
sh603689,7.58,3198.1,0.492,-0.26,2.0063,282
sz002327,6.14,2711.6,0.818,-2.54,2.0049,283
sh600538,4.75,4027.2,1.175,-8.83,1.9998,284
sz300218,12.52,2330.7,0.883,-1.65,1.9989,285
sh601388,3.15,10979.4,0.542,-12.26,1.9988,286
sh600571,10.21,6562.4,0.548,-7.6,1.9984,287
sz301019,15.65,2065.9,0.699,1.23,1.9973,288
sz003008,19.75,2357.0,0.639,0.71,1.9952,289
sz301208,30.23,4106.0,0.48,-2.23,1.9938,290
sz002191,3.58,3907.0,0.651,-4.02,1.9906,291
sz000900,3.55,4261.2,0.675,-5.08,1.9894,292
sz002293,10.75,4031.7,0.606,-3.76,1.9894,293
sz300899,30.19,2393.8,0.648,0.53,1.9886,294
sz003004,58.06,15152.4,0.762,-17.65,1.9885,295
sh603309,11.07,2793.2,0.841,-2.81,1.9863,296
sz300958,12.37,2976.2,0.669,-1.67,1.9853,297
sh605116,19.6,3641.6,0.769,-4.53,1.9824,298
sz300774,9.77,11722.7,0.567,-13.0,1.9823,299
sh600874,5.44,3994.8,0.512,-2.33,1.9815,300
sz300147,5.62,6436.7,1.741,-15.87,1.981,301
sz001279,26.4,2267.0,0.465,3.61,1.9809,302
sz003000,9.38,4057.8,0.573,-3.3,1.9801,303
sz301622,37.33,4190.6,0.675,-4.82,1.9798,304
sz300968,9.81,9446.4,0.354,-7.45,1.9791,305
sh603768,11.57,2560.6,0.629,0.26,1.9785,306
sz300472,6.87,2267.3,0.756,0.0,1.9783,307
sh600784,7.14,8177.3,0.559,-9.51,1.9753,308
sh603004,18.9,3066.7,0.702,-2.17,1.974,309
sz300214,9.86,32479.5,0.316,-17.9,1.9736,310
sz002978,24.8,5324.6,0.564,-5.6,1.9733,311
sh603708,8.85,6689.2,0.38,-4.74,1.9727,312
sz002686,6.21,9468.8,0.519,-10.26,1.9726,313
sz002727,10.6,5683.4,0.599,-6.61,1.9701,314
sh603006,10.83,2949.0,0.59,-0.46,1.9697,315
sh603329,10.2,2738.4,0.701,-1.07,1.9694,316
sz300591,6.47,11048.7,0.509,-11.49,1.9685,317
sz300066,4.68,4747.0,0.767,-6.77,1.9672,318
sz002037,6.83,3591.3,0.542,-1.59,1.9656,319
sz002997,26.14,10595.1,0.359,-8.44,1.9639,320
sz002953,10.29,19332.7,0.332,-13.38,1.9631,321
sz000404,6.86,4172.5,0.609,-3.79,1.9605,322
sz002644,8.14,5480.3,0.622,-6.44,1.9596,323
sz301038,16.52,5016.1,0.415,-2.59,1.9586,324
sz001379,15.76,2311.4,0.828,-0.63,1.9586,325
sz002887,9.14,3777.7,0.912,-5.87,1.9583,326
sz301288,16.97,2328.3,0.81,-0.53,1.9581,327
sz000669,4.2,2485.1,0.521,2.19,1.9575,328
sz000761,2.21,4656.2,0.884,-7.53,1.9564,329
sh600525,4.88,8960.8,0.478,-8.96,1.9559,330
sz002305,2.01,3238.6,1.011,-5.19,1.9556,331
sh600980,19.13,4024.8,0.852,-5.9,1.9551,332
sz002658,7.32,3829.4,0.502,-1.48,1.955,333
sz300288,9.7,3588.0,0.676,-3.1,1.9531,334
sz301598,51.83,3119.9,0.809,-3.09,1.9473,335
sh603072,30.53,4520.9,0.727,-5.63,1.941,336
sh600594,3.61,14437.5,0.384,-11.52,1.9407,337
sh603106,7.26,17243.8,0.302,-11.36,1.9405,338
sh600328,5.65,11311.6,0.487,-11.02,1.9382,339
sh603043,12.88,4735.4,0.802,-6.73,1.9367,340
sh603335,6.13,6439.3,0.537,-6.55,1.936,341
